,name,type,description,status,start_time,end_time,duration,priority,sub_task_id,deadline,reward_timer,reward_time,wait_time
0,Study for CS 251 final,school,No description,0,,,,3,0,2024-04-26 23:59:00,,,
1,Use fundamental data to find better correlations within the companies,career,No description,0,,,,3,1,2024-04-22 23:59:00,,,
2,Entr Final Pitch Deck & Presentation,school,No description,0,,,,3,0,2024-04-22 23:59:00,,,
3,Study for STAT Final,school,No description,0,,,,3,0,2024-04-26 23:59:00,,,
4,Spanish Project 2,school,No description,0,,,,3,0,2024-04-24 23:59:00,,,
5,Send Email for interest in 481,school,No description,2,2024-04-14 10:31:27.576633,,,3,0,2024-04-23 02:59:00,0.0,,2024-04-23 09:31:04.589480
6,STAT HW,school,finish asap to study for next midterm,3,,,,3,0,2024-04-12 23:59:00,0.0,,
7,Email Lab TA about turning in Lab 9,school,"Email Lab TA about turnning in Lab 9, get email, drop it off during his hours",3,2024-04-11 09:45:37.405106,,,3,0,2024-04-12 23:59:00,0.0,,
8,BidAskSizeStrat,career,Create a strategy that'll scalp only if either size is big enough(still in development),3,2024-04-12 08:10:25.721491,,,3,0,2024-04-15 23:59:00,0.0,,
9,Check Email,DOH,No description,3,,,,2,0,2024-04-15 23:59:00,0.0,,
10,Study STAT,school,test is on wednesday,3,,,,3,0,2024-04-16 23:59:00,0.0,,
11,Create Resume for Viasat,career,summer internship,3,2024-04-12 13:58:54.210107,,,3,0,2024-04-12 23:59:00,0.0,,
12,Clean Room,DOH,,3,2024-04-10 08:28:25.124010,2024-04-10 09:00:01.748631,,2,0,2024-04-10 23:59:00,0.0,,
13,Email Counselor,school,"send email, read email, tell your parents, email a thank you",3,2024-04-10 15:00:22.908414,,,3,0,2024-04-12 23:59:00,0.0,,
14,reward test,game,No description,3,2024-04-19 14:58:59.153284,,,0,0,2024-04-15 23:59:00,,1.0,
15,Give Steven the Lab Book,school,,3,2024-04-10 14:46:59.998324,,,3,0,2024-04-10 23:59:00,0.0,,
16,ENTR Financial Activity w/ group,school,homework for ENTR class,3,2024-04-09 15:26:54.118094,,,3,0,2024-04-10 23:59:00,0.0,,
17,Laundry,DOH,dirty clothes,3,2024-04-09 15:27:46.107598,2024-04-10 08:22:18.244954,,2,0,2024-04-10 23:59:00,0.0,,
18,test,school,No description,3,,,,3,0,2024-04-19 23:59:00,,,
19,VHL,school,Spanish HW,3,,,,3,0,2024-04-10 23:59:00,0.0,,
20,Module 13b Engagement Questions,school,No description,3,2024-04-11 23:53:40.705512,,,3,0,2024-04-11 23:59:00,0.0,,
21,Laundry,DOH,No description,3,2024-04-14 14:43:36.928686,,,2,0,2024-04-15 23:59:00,0.0,,
22,Meeting with Marc,career,No description,3,,,,3,0,2024-04-15 21:00:00,0.0,,
23,CS 251 Quiz,school,No description,3,2024-04-11 23:53:31.600472,,,3,0,2024-04-11 23:59:00,0.0,,
24,Lab 10,school,Steven gave u lab photos so start working on it,3,2024-04-11 09:59:03.998230,,,3,0,2024-04-12 18:00:00,0.0,,
25,Create a Resume for Business Analyst,career,4 12,3,2024-04-11 20:02:22.217133,,,3,0,2024-04-12 23:59:00,0.0,,
